Rank,Symbol,Price,Change %,PE,PB,Score,Score %,Rating,52W High,52W Low,From High,From Low,Volume,Indices,Top Reason,Screened At
1,TIINDIA,"₹2,498.30",+4.54%,11.0x,5.6x,79,79%,STRONG BUY,"₹2,862.04","₹1,033.48",12.7%,+141.7%,2.37M,Auto,✅ Low PE (11.0x) — good value,06-Aug-2026 06:06 AM
2,NTPC,₹361.90,+2.80%,17.8x,4.0x,76,76%,STRONG BUY,₹376.78,₹209.02,3.9%,+73.1%,12.68M,Power,✅ Fair PE (17.8x),06-Aug-2026 06:06 AM
3,JSWSTEEL,"₹4,918.71",+2.63%,13.3x,4.3x,72,72%,BUY,"₹5,401.25","₹2,988.98",8.9%,+64.6%,17.76M,Steel,✅ Low PE (13.3x) — good value,06-Aug-2026 06:06 AM
4,ATGL,"₹5,659.08",+1.63%,12.7x,4.8x,71,71%,BUY,"₹6,435.17","₹2,933.97",12.1%,+92.9%,11.42M,Energy,✅ Low PE (12.7x) — good value,06-Aug-2026 06:06 AM
5,APOLLOTYRE,"₹6,024.03",+3.08%,31.1x,5.0x,68,68%,BUY,"₹6,334.94","₹2,216.28",4.9%,+171.8%,26.68M,Auto,❌ High PE (31.1x),06-Aug-2026 06:06 AM
6,ONGC,"₹5,074.10",+1.24%,14.3x,1.5x,68,68%,BUY,"₹6,423.06","₹2,737.34",21.0%,+85.4%,1.09M,Energy,✅ Low PE (14.3x) — good value,06-Aug-2026 06:06 AM
7,HOMEFIRST,"₹5,539.93",+4.29%,26.0x,5.7x,67,67%,BUY,"₹6,560.83","₹2,767.71",15.6%,+100.2%,16.85M,NBFC,⚠️  Moderate PE (26.0x),06-Aug-2026 06:06 AM
8,AMBUJACEM,"₹5,527.76",+2.62%,25.9x,1.0x,67,67%,BUY,"₹6,977.50","₹2,762.99",20.8%,+100.1%,22.63M,Cement,⚠️  Moderate PE (25.9x),06-Aug-2026 06:06 AM
9,POONAWALLA,"₹3,770.73",+1.46%,24.0x,7.1x,66,66%,BUY,"₹3,899.46","₹1,911.00",3.3%,+97.3%,2.52M,NBFC,⚠️  Moderate PE (24.0x),06-Aug-2026 06:06 AM
10,REPCO,₹584.68,+1.96%,15.8x,1.6x,66,66%,BUY,₹698.16,₹314.80,16.3%,+85.7%,28.31M,NBFC,✅ Fair PE (15.8x),06-Aug-2026 06:06 AM
11,SBIN,₹831.80,+1.49%,18.0x,5.8x,65,65%,BUY,₹956.86,₹380.02,13.1%,+118.9%,4.66M,Banking,✅ Fair PE (18.0x),06-Aug-2026 06:06 AM
12,COLPAL,"₹4,919.38",+1.80%,32.0x,2.7x,65,65%,BUY,"₹5,206.15","₹2,322.25",5.5%,+111.8%,26.22M,FMCG,❌ High PE (32.0x),06-Aug-2026 06:06 AM
13,DLF,"₹5,120.07",+5.32%,32.2x,3.1x,65,65%,BUY,"₹5,978.84","₹2,982.77",14.4%,+71.7%,16.18M,Real Estate,❌ High PE (32.2x),06-Aug-2026 06:06 AM
14,NESCO,"₹6,069.04",+2.69%,50.9x,2.7x,64,64%,BUY,"₹6,762.41","₹2,436.15",10.3%,+149.1%,25.53M,Real Estate,❌ High PE (50.9x),06-Aug-2026 06:06 AM
15,PNB,"₹4,651.96",+2.84%,10.2x,2.9x,63,63%,BUY,"₹5,909.48","₹3,315.21",21.3%,+40.3%,5.62M,Banking,✅ Low PE (10.2x) — good value,06-Aug-2026 06:06 AM
16,CIPLA,"₹5,421.19",+3.14%,27.7x,7.3x,63,63%,BUY,"₹6,371.65","₹3,490.80",14.9%,+55.3%,24.94M,Pharma,⚠️  Moderate PE (27.7x),06-Aug-2026 06:06 AM
17,MCDOWELL-N,"₹7,030.21",+5.52%,58.0x,6.6x,63,63%,BUY,"₹7,808.83","₹4,069.12",10.0%,+72.8%,27.69M,FMCG,❌ High PE (58.0x),06-Aug-2026 06:06 AM
18,NATIONALUM,"₹4,281.31",-0.71%,11.8x,0.8x,63,63%,BUY,"₹5,089.63","₹1,952.43",15.9%,+119.3%,16.93M,Steel,✅ Low PE (11.8x) — good value,06-Aug-2026 06:06 AM
19,BANKBARODA,"₹5,136.59",-0.29%,8.7x,7.7x,62,62%,BUY,"₹5,553.89","₹3,013.17",7.5%,+70.5%,4.11M,Banking,✅ Very low PE (8.7x) — deep value!,06-Aug-2026 06:06 AM
