Rank,Symbol,Price,PE Ratio,Score,Score %,Rating,Today Change,VWAP,Volume,52W High,52W Low,From High,From Low,Sector,Top Reason,Screened At,Mode
1,TATAMOTORS,"₹1,120",11.5x,75/80,94%,STRONG BUY,+4.2%,"₹1,108",22.0M,"₹1,179",₹684,5.0%,+63.7%,Auto,✅ Very low PE (11.5x) — undervalued!,06-Aug-2026 04:21 AM,DEMO
2,SBIN,₹812,10.2x,65/80,81%,STRONG BUY,+2.8%,₹805,25.0M,₹912,₹601,11.0%,+35.1%,Banking,✅ Very low PE (10.2x) — undervalued!,06-Aug-2026 04:21 AM,DEMO
3,HDFCBANK,"₹1,820",19.5x,62/80,78%,STRONG BUY,+2.1%,"₹1,810",12.0M,"₹1,880","₹1,430",3.2%,+27.3%,Banking,✅ Good PE (19.5x) — fairly valued,06-Aug-2026 04:21 AM,DEMO
4,ICICIBANK,"₹1,290",18.2x,62/80,78%,STRONG BUY,+3.1%,"₹1,275",15.0M,"₹1,361","₹1,063",5.2%,+21.4%,Banking,✅ Good PE (18.2x) — fairly valued,06-Aug-2026 04:21 AM,DEMO
5,TATASTEEL,₹162,18.9x,62/80,78%,STRONG BUY,+2.8%,₹160,42.0M,₹185,₹120,12.4%,+35.0%,Steel,✅ Good PE (18.9x) — fairly valued,06-Aug-2026 04:21 AM,DEMO
6,HCLTECH,"₹1,920",28.6x,61/80,76%,STRONG BUY,+2.2%,"₹1,908",4.5M,"₹2,012","₹1,235",4.6%,+55.5%,IT,⚠️  Moderate PE (28.6x),06-Aug-2026 04:21 AM,DEMO
7,AXISBANK,"₹1,185",15.8x,57/80,71%,STRONG BUY,+2.4%,"₹1,172",11.0M,"₹1,280","₹1,014",7.4%,+16.9%,Banking,✅ Good PE (15.8x) — fairly valued,06-Aug-2026 04:21 AM,DEMO
8,POWERGRID,₹342,18.6x,57/80,71%,STRONG BUY,+1.1%,₹340,12.5M,₹366,₹260,6.6%,+31.5%,Power,✅ Good PE (18.6x) — fairly valued,06-Aug-2026 04:21 AM,DEMO
9,NTPC,₹368,16.2x,57/80,71%,STRONG BUY,+0.7%,₹365,18.0M,₹396,₹265,7.1%,+38.9%,Power,✅ Good PE (16.2x) — fairly valued,06-Aug-2026 04:21 AM,DEMO
10,BHARTIARTL,"₹1,720",68.5x,54/80,68%,BUY,+1.5%,"₹1,710",5.5M,"₹1,779","₹1,276",3.3%,+34.8%,Telecom,❌ High PE (68.5x) — expensive,06-Aug-2026 04:21 AM,DEMO
