TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-07,2026-08-07,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,14690.0,14748.0,14540.0,14741.25,14730.0,14657.46,,14741.25,,,162,2371622.15,24,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,14536.2,14799.0,14536.2,14799.0,14799.0,14614.32,,14799.0,,,227,3325253.54,56,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,14616.33,14777.0,14550.0,14734.67,14750.0,14616.33,,14728.9,,,427,6277682.67,94,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,14700.0,14970.0,14700.0,14881.32,14850.0,14836.46,,14879.22,,,182,2692260.06,30,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14648.0,14800.0,14574.76,14766.66,14760.0,14617.6,,14766.66,,,92,1352065.47,25,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,14676.25,14870.0,14656.0,14863.33,14860.0,14701.39,,14855.71,,,168,2479372.71,33,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,14680.0,14799.0,14612.01,14794.29,14799.0,14679.99,,14794.29,,,326,4792448.31,28,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,14725.0,14725.0,14725.0,14725.0,14725.0,14333.0,,14725.0,,,12,176700.0,3,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,14599.0,14777.0,14599.0,14777.0,14777.0,14599.0,,14777.0,,,82,1199955.2,8,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,14590.0,14735.0,14590.0,14735.0,14735.0,14555.0,,14735.0,,,5,73382.0,4,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,14600.0,14899.0,14515.01,14899.0,14899.0,14650.0,,14899.0,,,77,1134419.13,18,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,14505.01,14798.99,14505.01,14798.99,14798.99,14599.0,,14798.99,,,50,732533.7,10,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,14700.0,14798.97,14700.0,14730.0,14730.0,14690.0,,14730.0,,,45,663507.66,22,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,14700.0,14994.99,14700.0,14800.0,14800.0,14745.71,,14800.0,,,139,2053489.96,23,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,14500.0,14924.0,14500.0,14924.0,14924.0,14500.0,,14924.0,,,42,616024.0,6,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,14670.0,14920.02,14670.0,14920.02,14920.02,14650.0,,14920.02,,,15,221658.08,7,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,14500.01,14689.0,14500.01,14689.0,14689.0,14399.0,,14579.51,,,2,29189.01,2,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,14649.99,14800.0,14649.99,14799.87,14800.0,14649.99,,14799.87,,,179,2642238.39,18,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,14511.0,14750.0,14511.0,14750.0,14750.0,14750.0,,14750.0,,,17,249997.06,8,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,14655.0,14799.0,14560.0,14795.06,14799.0,14697.55,,14800.68,,,136,2005805.85,36,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,14645.99,14799.0,14561.0,14777.2,14799.0,14604.79,,14777.2,,,354,5193781.67,49,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,14699.99,14730.0,14526.03,14707.95,14700.22,14592.56,,14703.58,,,485,7108118.76,97,F1,1,,,,,
