SYMBOL,CLOSE,PREV_CLOSE,PCT_CHANGE
EEPL,143.7,119.75,20.0
SBCL,920.9,767.45,19.99
SICAGEN,74.06,61.72,19.99
AEPL,17.13,14.52,17.98
925SCL28C,930.0,790.0,17.72
737NTPC35C,1379.99,1202.5,14.76
VISAKAIND,98.72,86.39,14.27
MARC,131.15,116.0,13.06
ALBERTDAVD,822.85,730.55,12.63
SAPPHIRE,224.22,199.74,12.26
ENRIN,3648.8,3252.2,12.19
875SCL23A,1003.0,901.2,11.3
BTML,8.01,7.2,11.25
PGIL,2464.1,2221.5,10.92
AVALON,1965.3,1774.5,10.75
EMIL,165.83,149.78,10.72
PROPEQUITY,225.0,204.0,10.29
ESFL,126.25,114.8,9.97
VARROC,811.2,737.85,9.94
DHARIWAL,24.35,22.15,9.93
WINDMACHIN,303.55,276.5,9.78
ZENITHEXPO,216.51,197.24,9.77
SPCENET,3.86,3.52,9.66
LLOYDSENGG,96.88,88.46,9.52
THAKDEV,140.34,128.25,9.43
TAALTECH,4489.3,4110.2,9.22
ARCHIDPLY,89.49,82.04,9.08
TATATECH,872.8,801.55,8.89
WORTHPERI,163.13,149.86,8.85
DEVYANI,134.73,123.86,8.78
MOTHERSON,168.5,155.0,8.71
ETL,1050.3,970.0,8.28
UNIMECH,1446.7,1336.5,8.25
ESCONET,137.8,127.5,8.08
MARCO,33.5,31.0,8.06
VARDMNPOLY,6.48,6.0,8.0
ARVSMART,650.75,603.3,7.87
WEL,129.7,120.3,7.81
TECHNVISN,5721.8,5307.1,7.81
BHARATSE,240.89,223.47,7.8
TREJHARA,177.66,165.13,7.59
TECHNOE,1066.25,992.25,7.46
TIJARIA,5.09,4.74,7.38
MATRIMONY,480.8,447.9,7.35
COMSYN,224.83,209.58,7.28
985SFIL28,375.2,350.0,7.2
MOHITIND,27.3,25.51,7.02
AMBALALSA,46.73,43.7,6.93
SKP,171.0,160.0,6.88
TRAVELFOOD,1428.6,1337.2,6.84
DURLAX,56.85,53.25,6.76
GOCLCORP,438.25,410.55,6.75
KUANTUM,86.04,80.61,6.74
BIRLANU,1641.5,1538.7,6.68
ADISOFT,189.4,177.65,6.61
BECTORFOOD,224.4,210.48,6.61
TARMAT,52.7,49.48,6.51
IDEALTECHO,181.5,170.5,6.45
MACPOWER,1681.1,1581.0,6.33
HMAAGRO,22.23,20.92,6.26
HAPPY,65.6,61.75,6.23
GRAVISSHO,31.08,29.26,6.22
PIGL,112.26,105.71,6.2
ORIENTELEC,189.18,178.23,6.14
NEULANDLAB,22855.0,21543.0,6.09
MPSLTD,2931.2,2763.9,6.05
UYFINCORP,20.36,19.2,6.04
TFCILTD,117.48,110.81,6.02
GTL,7.82,7.38,5.96
KENNAMET,3309.9,3123.7,5.96
DIVGIITTS,1047.25,988.6,5.93
SMSPHARMA,378.1,357.2,5.85
VDEAL,164.0,155.0,5.81
ACCENTMIC,543.9,514.45,5.72
ONEPOINT,60.33,57.1,5.66
ELDEHSG,759.6,718.95,5.65
PALASHSECU,92.01,87.1,5.64
KARMAENG,41.21,39.03,5.59
MANAKALUCO,40.48,38.36,5.53
DPEL,555.9,526.8,5.52
ULTRAMAR,410.75,389.4,5.48
NAHARINDUS,127.72,121.08,5.48
AURUS,4.81,4.56,5.48
CHAVDA,140.75,133.45,5.47
CGRAPHICS,150.0,142.25,5.45
DOLATALGO,71.01,67.34,5.45
ARVINDPORT,32.5,30.85,5.35
SPECTSTM,65.65,62.35,5.29
FAZE3Q,569.2,540.6,5.29
SAIPARENT,569.7,541.15,5.28
AKUMS,697.45,662.55,5.27
SANWARIA,0.2,0.19,5.26
DIAMONDYD,1227.4,1166.2,5.25
RAJPUTANA,218.35,207.5,5.23
PRESSTONIC,34.35,32.65,5.21
INDRAMEDCO,380.65,361.85,5.2
RBA,94.92,90.25,5.17
USHAFIN,39.7,37.75,5.17
GKENERGY,136.86,130.15,5.16
SECURKLOUD,19.42,18.48,5.09
LLOYDSENT,83.5,79.48,5.06
M&MFIN,408.45,388.8,5.05
HPTL,310.85,296.05,5.0
EASTSILK,63.0,60.0,5.0
IVP,168.71,160.68,5.0
GVPIL,762.9,726.6,5.0
BSHSL,91.0,86.67,5.0
STYL,407.75,388.35,5.0
UEL,257.79,245.52,5.0
VIVIDEL,1448.0,1379.05,5.0
TECHERA,182.75,174.05,5.0
SHIVAMILLS,65.49,62.38,4.99
VALIANTLAB,64.59,61.52,4.99
CAPTRUST,19.36,18.44,4.99
MCLEODRUSS,49.04,46.71,4.99
VPRPL,30.93,29.46,4.99
XTRANET,136.21,129.73,4.99
EIFFL,269.3,256.5,4.99
STYLEBAAZA,320.65,305.4,4.99
DBREALTY,117.32,111.74,4.99
NEPHROCARE,75.8,72.2,4.99
DSKULKARNI,10.96,10.44,4.98
PATILAUTOM,210.75,200.75,4.98
FONEBOX,98.1,93.45,4.98
FORGEAUTO,116.15,110.65,4.97
IMPEXFERRO,3.17,3.02,4.97
ADDICTIVE,40.15,38.25,4.97
VR,144.65,137.8,4.97
CMRSL,63.4,60.4,4.97
VIVO,114.05,108.65,4.97
AKANKSHA,116.4,110.9,4.96
BGRENERGY,266.7,254.1,4.96
DHTL,33.85,32.25,4.96
BHADORA,92.1,87.75,4.96
BIKEWO,78.5,74.8,4.95
MILTON,33.9,32.3,4.95
PROLIFE,78.65,74.95,4.94
PRECISION,8.5,8.1,4.94
RELINFRA,76.56,72.96,4.93
PURVFLEXI,50.05,47.7,4.93
MMWL,15.79,15.05,4.92
SATIPOLY,48.0,45.75,4.92
MANAV,23.45,22.35,4.92
UTKAL,46.1,43.95,4.89
GTECJAINX,31.54,30.07,4.89
PWL,131.59,125.49,4.86
SADHNANIQ,3.02,2.88,4.86
PVP,34.74,33.14,4.83
MIEL,13.1,12.5,4.8
KALYANIFRG,635.4,606.35,4.79
BLUEPEBBLE,76.5,73.0,4.79
ECOLINE,205.7,196.3,4.79
TRANSWORLD,166.0,158.43,4.78
IEML,43.95,41.95,4.77
MANDEEP,20.9,19.95,4.76
ROXHITECH,48.4,46.2,4.76
RKEC,27.42,26.18,4.74
ARROWGREEN,781.4,746.1,4.73
ROLLT,3.11,2.97,4.71
DISHTV,2.89,2.76,4.71
PTCIL,19076.0,18221.0,4.69
VCL,1.34,1.28,4.69
DIGITIDE,103.64,99.0,4.69
MARINE,336.9,321.85,4.68
BULKCORP,66.45,63.5,4.65
NAVNETEDUL,133.87,127.93,4.64
MASTER,497.0,475.0,4.63
BILVYAPAR,4.08,3.9,4.62
WILLAMAGOR,26.41,25.25,4.59
JYOTIGLOBL,40.1,38.35,4.56
INFINIUM,219.5,209.95,4.55
PASUPTAC,62.38,59.67,4.54
GANGAFORGE,2.11,2.02,4.46
GJL,188.0,180.0,4.44
JEYYAM,24.8,23.75,4.42
NRAIL,544.55,521.65,4.39
DIACABS,364.05,348.8,4.37
GALAXYSURF,2066.7,1980.3,4.36
AUROPHARMA,1658.0,1588.9,4.35
PRIMESECU,296.05,283.7,4.35
DECCANTRAN,24.0,23.0,4.35
PARACABLES,68.92,66.05,4.35
ONWARDTEC,290.7,278.6,4.34
BOSS,45.7,43.8,4.34
LLOYDS,67.5,64.7,4.33
ABAN,19.99,19.16,4.33
ASIANENE,408.55,391.65,4.32
KANDARP,102.75,98.5,4.31
HBESD,78.52,75.28,4.3
AMBIKCO,1904.3,1826.0,4.29
DHANSA,20.75,19.9,4.27
JAIBALAJI,65.61,62.93,4.26
UNIPARTS,814.6,781.5,4.24
MMFL,629.1,603.55,4.23
ORTEL,2.22,2.13,4.23
GUFICBIO,421.4,404.35,4.22
MANIPALHOS,677.95,650.5,4.22
791MH39,100.0,95.95,4.22
JFLLIFE,13.65,13.1,4.2
GRANULES,873.85,838.65,4.2
RACE,108.76,104.38,4.2
