SYMBOL,CLOSE,PREV_CLOSE,PCT_CHANGE
EEPL,143.7,119.75,20.0
SBCL,920.9,767.45,19.99
SICAGEN,74.06,61.72,19.99
AEPL,17.13,14.52,17.98
925SCL28C,930.0,790.0,17.72
737NTPC35C,1379.99,1202.5,14.76
VISAKAIND,98.72,86.39,14.27
MARC,131.15,116.0,13.06
ALBERTDAVD,822.85,730.55,12.63
SAPPHIRE,224.22,199.74,12.26
ENRIN,3648.8,3252.2,12.19
875SCL23A,1003.0,901.2,11.3
BTML,8.01,7.2,11.25
PGIL,2464.1,2221.5,10.92
AVALON,1965.3,1774.5,10.75
EMIL,165.83,149.78,10.72
PROPEQUITY,225.0,204.0,10.29
ESFL,126.25,114.8,9.97
VARROC,811.2,737.85,9.94
DHARIWAL,24.35,22.15,9.93
