SYMBOL,CLOSE,PREV_CLOSE,PCT_CHANGE
980SCL33D,835.0,1000.2,-16.52
IXIGO,176.25,202.67,-13.04
BATLIBOI,91.13,102.67,-11.24
GALAPREC,1036.4,1162.2,-10.82
CELLPOINT,16.15,18.0,-10.28
ISHAN,0.45,0.5,-10.0
INDOTHAI,99.59,110.65,-10.0
AASTHA,74.6,82.88,-9.99
SAURASHCEM,62.14,68.93,-9.85
RELIGARE,232.35,256.55,-9.43
JYOTICNC,784.3,865.05,-9.33
965SCL25F,930.0,1020.0,-8.82
DUGLOBAL,26.45,29.0,-8.79
DIGIKORE,35.25,38.6,-8.68
RAIN,222.88,243.0,-8.28
SUNLITE,438.9,478.0,-8.18
TIL,232.1,252.5,-8.08
OMNI,578.35,627.05,-7.77
PENTAGON,50.7,54.95,-7.73
1003SCL31P,950.2,1027.18,-7.49
