SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
3IINFOLTD,1.63,1.14,-0.49,down
915APSBC31,1.11,1.51,0.3999999999999999,up
ABAN,4.99,4.33,-0.6600000000000001,down
ADISOFT,1.37,6.61,5.24,up
AEPL,1.26,17.98,16.72,up
AFFORDABLE,5.0,2.72,-2.28,down
AGARWALEYE,2.16,2.62,0.45999999999999996,up
AIMTRON,1.23,1.5,0.27,up
AKANKSHA,4.97,4.96,-0.009999999999999787,down
AKSHOPTFBR,4.78,3.19,-1.5900000000000003,down
ALBERTDAVD,5.45,12.63,7.180000000000001,up
AMBALALSA,1.86,6.93,5.069999999999999,up
AMBIKCO,1.31,4.29,2.98,up
ANANDRATHI,1.66,1.45,-0.20999999999999996,down
ANKITMETAL,1.29,1.27,-0.020000000000000018,down
ANNAPURNA,9.3,4.09,-5.210000000000001,down
APARINDS,2.94,3.13,0.18999999999999995,up
APSISAERO,1.6,1.99,0.3899999999999999,up
ARCHIDPLY,2.01,9.08,7.07,up
ARFIN,1.92,1.21,-0.71,down
ARHAM,4.41,1.03,-3.38,down
ARSHIYA,1.08,2.13,1.0499999999999998,up
ARTNIRMAN,2.45,1.77,-0.6800000000000002,down
ARVINDPORT,4.93,5.35,0.41999999999999993,up
ARVSMART,1.17,7.87,6.7,up
AUROIMPEX,1.75,1.34,-0.4099999999999999,down
AVATAR,2.0,1.99,-0.010000000000000009,down
BALUFORGE,2.81,2.31,-0.5,down
BANKINDIA,1.18,1.64,0.45999999999999996,up
BEACON,2.25,3.66,1.4100000000000001,up
BELRISE,1.29,1.47,0.17999999999999994,up
BEML,3.2,3.63,0.4299999999999997,up
BHADORA,1.86,4.96,3.0999999999999996,up
BIKEWO,4.98,4.95,-0.03000000000000025,down
BIRLACABLE,5.0,2.62,-2.38,down
BIRLANU,10.17,6.68,-3.49,down
BLUEPEBBLE,7.35,4.79,-2.5599999999999996,down
BOSCH-HCIL,7.97,2.26,-5.71,down
BOSS,4.91,4.34,-0.5700000000000003,down
BTML,8.93,11.25,2.3200000000000003,up
BULKCORP,2.92,4.65,1.7300000000000004,up
CENTRUM,2.41,1.95,-0.4600000000000002,down
CHEMBONDCH,1.43,2.44,1.01,up
CIFL,1.51,1.53,0.020000000000000018,up
CMLL,3.57,3.36,-0.20999999999999996,down
COCHINSHIP,4.56,1.99,-2.5699999999999994,down
COCKERILL,6.35,1.83,-4.52,down
COHANCE,2.2,1.56,-0.6400000000000001,down
CPPLUS,2.86,1.44,-1.42,down
CRISIL,1.68,1.24,-0.43999999999999995,down
CRIZAC,1.04,1.54,0.5,up
CUB,1.87,1.73,-0.14000000000000012,down
DENEERS,1.59,2.68,1.09,up
DENTALKART,1.49,3.75,2.26,up
DHARIWAL,9.93,9.93,0.0,flat
DHUNINV,3.07,1.19,-1.88,down
DIACABS,5.0,4.37,-0.6299999999999999,down
DIGISPICE,1.3,2.03,0.7299999999999998,up
DJML,5.45,1.9,-3.5500000000000003,down
DSKULKARNI,4.92,4.98,0.0600000000000005,up
