SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
1003SCL30A,4.1,,,flat
1025VCCL28,1.13,-3.51,-4.64,down
105IIFL29,1.99,0.09,-1.9,down
10MWL29,1.28,,,flat
1275DCCL28,1.58,,,flat
12VCCL29B,1.83,,,flat
182D221026,1.24,0.0,-1.24,down
21STCENMGM,1.64,0.65,-0.9899999999999999,down
364D110227,1.06,,,flat
364D231026,1.31,,,flat
3PLAND,1.07,0.06,-1.01,down
601GS2030,3.0,-0.07,-3.07,down
648GS2035,2.11,-0.05,-2.1599999999999997,down
68GS2060,3.4,0.16,-3.2399999999999998,down
699GS2051,2.53,-0.48,-3.01,down
735NABAR31,2.86,,,flat
746TS49,1.06,,,flat
772GS2055,4.74,,,flat
779TN32,3.62,,,flat
797TS43,5.0,,,flat
79NHIT40,1.59,-0.04,-1.6300000000000001,down
870IIFL28,1.82,-1.69,-3.51,down
87HMDA33,1.96,,,flat
87HMDA34,4.41,,,flat
891IIFCL34,2.0,-0.79,-2.79,down
91D291026,4.99,-0.7,-5.69,down
925SCL30A,19.42,,,flat
948SCL26A,1.66,0.08,-1.5799999999999998,down
948SCL27D,8.15,-0.94,-9.09,down
965SCL25C,1.93,,,flat
AAATECH,1.96,-1.26,-3.2199999999999998,down
AADHARHFC,1.92,-1.65,-3.57,down
AARNAV,1.38,-0.13,-1.5099999999999998,down
AARTIIND,3.14,0.18,-2.96,down
AARTIPHARM,1.35,-0.92,-2.27,down
AARTISURF,1.88,-2.79,-4.67,down
ABANSENT,2.56,-1.85,-4.41,down
ABFRL,1.87,0.11,-1.76,down
ACL,1.18,-0.08,-1.26,down
ACSTECH,3.7,0.07,-3.6300000000000003,down
ADVAIT,1.21,-5.18,-6.39,down
AEGISVOPAK,1.71,-1.18,-2.8899999999999997,down
AFFLE,1.57,-2.55,-4.12,down
AGARWALTUF,1.04,-0.89,-1.9300000000000002,down
AGL,9.96,-4.29,-14.25,down
AHLWEST,1.14,-0.37,-1.5099999999999998,down
AIAENG,3.2,-0.4,-3.6,down
AIIL,4.5,0.07,-4.43,down
AKG,2.61,0.58,-2.03,down
AKI,6.64,-0.44,-7.08,down
AKSHARCHEM,2.77,-0.93,-3.7,down
ALANKIT,2.28,-0.12,-2.4,down
ALICON,2.76,0.66,-2.0999999999999996,down
ALLCARGO,19.9,-5.12,-25.02,down
ALPA,3.94,-2.69,-6.63,down
ALUWIND,1.31,-2.38,-3.69,down
ANIKINDS,2.04,-0.21,-2.25,down
ANSALAPI,1.71,-0.56,-2.27,down
AONEGOLD,2.37,0.87,-1.5,down
APLLTD,1.99,-0.52,-2.51,down
APOLLO,1.23,-0.02,-1.25,down
APOLLOTYRE,1.08,-1.05,-2.13,down
APOLSINHOT,3.56,-2.77,-6.33,down
AQYLON,4.95,-3.82,-8.77,down
ARABIAN,18.06,-4.12,-22.18,down
ARCHIES,1.56,-2.02,-3.58,down
ARCIIL,7.04,-1.32,-8.36,down
ARIHANTSUP,2.71,-0.67,-3.38,down
ARIS,1.4,0.3,-1.0999999999999999,down
ARMOUR,2.93,-4.92,-7.85,down
ASHIKAG,2.76,-4.15,-6.91,down
ASHIMASYN,1.74,0.39,-1.35,down
ASIANHOTNR,3.05,-1.04,-4.09,down
