SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
1025SCL34Z,,2.01,,flat
662GS2051,,2.28,,flat
667GS2035,,4.0,,flat
716GS2050,,2.24,,flat
791MH39,,4.22,,flat
830PFCL27,,1.66,,flat
875SCL23A,,11.3,,flat
925SCL28C,,17.72,,flat
985SFIL28,,7.2,,flat
CHAMUNDA,,1.05,,flat
DECCANTRAN,,4.35,,flat
DHANSA,,4.27,,flat
EFORCE,,1.19,,flat
ETL,,8.28,,flat
JALAN,,3.03,,flat
MANAV,,4.92,,flat
MARCO,,8.06,,flat
MIEL,,4.8,,flat
MILTON,,4.95,,flat
PROLIFE,,4.94,,flat
PROPEQUITY,,10.29,,flat
PSFL,,1.45,,flat
SGBFEB27,,2.01,,flat
SGBOCT26,,2.73,,flat
