SYMBOL,full_pct_change_2026-08-06,top_gainers_2026-08-06,top_losers_2026-08-06,CURRENT_UP_STREAK
1003IIFL29,1.0,,,0
1003ISFL28,0.0,,,0
1003SCL30A,4.1,,,0
1015ECL29,0.51,,,0
1018GS2026,-0.22,,,0
1020CCSP27,0.37,,,0
1025SCL34,0.0,,,0
1025UCL26A,-0.05,,,0
1025VCCL28,1.13,,,0
1040UCL27B,-1.23,,,0
105IIFL29,1.99,,,0
1060ECL29,-1.64,,,0
1065NFL27,0.4,,,0
1075SCL33,0.02,,,0
1075WCA28,0.0,,,0
10IIFL28,0.11,,,0
10IIFL28A,0.0,,,0
10IIFL29,-1.76,,,0
10MWL29,1.28,,,0
113ESFB31,-0.0,,,0
1150AFIL28,0.66,,,0
1150AFIL29,-0.24,,,0
115VCCL28A,-2.81,,,0
115VCCL31,0.0,,,0
1165ESFB32,0.0,,,0
1225IFL27,-19.21,,-19.21,0
1275DCCL28,1.58,,,0
12AFIL28,-1.28,,,0
12VCCL29B,1.83,,,0
182D051126,0.15,,,0
182D221026,1.24,,,0
20MICRONS,-1.61,,,0
21STCENMGM,1.64,,,0
360ONE,-0.5,,,0
364D110227,1.06,,,0
364D130826,0.96,,,0
364D171226,0.64,,,0
364D231026,1.31,,,0
3BBLACKBIO,0.16,,,0
3IINFOLTD,1.63,,,0
3MINDIA,0.54,,,0
3PLAND,1.07,,,0
574GS2026,0.47,,,0
591GS2028,-0.09,,,0
5PAISA,-0.3,,,0
601GS2028,0.99,,,0
601GS2030,3.0,,,0
610GS2031,0.0,,,0
636GS2031,0.47,,,0
63MOONS,-0.55,,,0
648GS2035,2.11,,,0
654GS2032,1.0,,,0
668GS2033,0.1,,,0
668GS2040,0.19,,,0
675GS2029,0.0,,,0
676GS2061,-0.82,,,0
68GS2060,3.4,,,0
690GS2065,-0.12,,,0
694GS2036,0.35,,,0
695GS2061,0.0,,,0
699GS2051,2.53,,,0
706GS2028,-0.29,,,0
706GS2041,0.5,,,0
709GS2054,0.66,,,0
709GS2074,-0.12,,,0
710GS2029,-0.24,,,0
717GS2030,0.01,,,0
718GS2033,0.76,,,0
718GS2037,-0.41,,,0
720PFCL36,0.5,,,0
723GS2039,-0.05,,,0
724GS2055,-0.06,,,0
725GS2063,0.01,,,0
726GS2032,0.28,,,0
730PFCL41,0.8,,,0
732GS2030,0.19,,,0
734AP35,-5.0,,,0
734GS2064,-0.25,,,0
734TS38,-5.0,,,0
735HP34,-5.0,,,0
735MH31,-3.41,,,0
735NABAR31,2.86,,,0
735NHAI31,0.93,,,0
735WB43,-5.0,,,0
736GS2052,-0.43,,,0
737GR2054,0.0,,,0
737GS2028,0.0,,,0
737NTPC35C,-11.45,,-11.45,0
738GS2027,-0.05,,,0
738REC27TF,0.03,,,0
73GS2053,0.12,,,0
740IIFCL33,-0.34,,,0
741GS2036,-0.33,,,0
743GS2076,0.5,,,0
744TN55,0.0,,,0
744TN55A,-3.16,,,0
746GS2073,0.24,,,0
746TS49,1.06,,,0
74GS2062,-0.25,,,0
751AP41,-5.0,,,0
751HUDCO28,0.0,,,0
752HR42,-5.0,,,0
753IRFC30,-0.42,,,0
753NTPC30E,0.51,,,0
753TN37,-4.04,,,0
754GS2036,-0.08,,,0
754TS53,-5.0,,,0
754TS55,-5.0,,,0
761TN56,-5.0,,,0
762NTPC35F,0.34,,,0
762UP33,0.0,,,0
762WB41,-5.0,,,0
764HUDCO31,0.09,,,0
764IRFC31,0.31,,,0
764NABAR31,-0.14,,,0
765TN30,0.7,,,0
765UP34,-5.0,,,0
769NHAI31,0.17,,,0
76NHAI31,-0.06,,,0
771GS2066,-0.01,,,0
772GS2055,4.74,,,0
774RJ34,0.0,,,0
774RJ42,-5.0,,,0
779TN32,3.62,,,0
779UP51,-5.0,,,0
781UP41,-5.0,,,0
783KL49,0.0,,,0
783MP48,0.0,,,0
791PN41,-5.0,,,0
792PN44,-5.0,,,0
794TN32,0.0,,,0
797IGT31,0.99,,,0
797TS43,5.0,,,0
799RJ41,0.0,,,0
79NHIT40,1.59,,,0
79NHIT47,-0.24,,,0
7PFCL31,0.0,,,0
807AP51,-3.54,,,0
810IRFC27,-0.14,,,0
81TCHF28,0.59,,,0
820IIFL27,-0.2,,,0
824GS2027,0.0,,,0
828GS2032,-0.95,,,0
82HUDCO27,0.1,,,0
830NHAI27,-0.05,,,0
842IIFL26,0.24,,,0
843IHFL29,0.0,,,0
846REC28,0.62,,,0
84CIFCL28,-0.01,,,0
84TCHF28,-0.35,,,0
851HUDCO28,-16.36,,-16.36,0
862AEL31,-0.44,,,0
865IIFL28,0.76,,,0
865IIFL31,0.0,,,0
865IRFC29,0.17,,,0
865SCL27,0.12,,,0
865TCAPS27,-0.12,,,0
867PFCL33,-1.83,,,0
870IIFL28,1.82,,,0
875AEL29,0.24,,,0
875IHFL29,0.08,,,0
875NHAI29,0.28,,,0
876HUDCO28,-0.13,,,0
87HMDA32,0.02,,,0
87HMDA33,1.96,,,0
87HMDA34,4.41,,,0
87LTF27,-1.94,,,0
880IREDA29,-0.54,,,0
885AEL28,0.99,,,0
885IHL26,0.17,,,0
885SCL26,0.0,,,0
888ECL28,-1.15,,,0
888IRFC29,0.07,,,0
888SCL25E,0.0,,,0
890AEL31,-0.0,,,0
890SFIL23A,0.0,,,0
891IIFCL34,2.0,,,0
891NTPC33,-0.39,,,0
892PFCL33,0.35,,,0
897GS2030,-0.09,,,0
897MOFSL29,-1.17,,,0
898LTF29,0.0,,,0
8ABCL26,0.11,,,0
901HUDCO34,0.36,,,0
901NHB34,0.6,,,0
903SFL28,0.0,,,0
905LTF27,0.0,,,0
905SC24B,0.0,,,0
910TCAP28,0.0,,,0
915AEL28,-0.08,,,0
915APSBC28,0.1,,,0
915APSBC31,1.11,,,0
91D030926,0.32,,,0
91D081026,0.66,,,0
91D100926,0.52,,,0
91D291026,4.99,,,0
91MOFSL27,-0.29,,,0
920ISF28B,0.0,,,0
925AEL26,-0.46,,,0
925ECL28,0.0,,,0
925ISF28,0.0,,,0
925SCFL27,0.25,,,0
925SCL30A,19.42,19.42,,0
92GS2030,-0.48,,,0
92SFIL28,0.0,,,0
930AEL30,0.0,,,0
930APMD29,0.0,,,0
930APMD30,-1.41,,,0
930APMD32,0.0,,,0
935MOFSL29,-2.07,,,0
935TSI30,0.76,,,0
935TSIIC28,0.75,,,0
943ECL28,-0.17,,,0
948SCL26A,1.66,,,0
948SCL27D,8.15,,,0
94SFL28,0.0,,,0
950ISF27C,-0.1,,,0
957ICCL25,-0.09,,,0
957ISFL26,0.1,,,0
960IIFL30,-0.86,,,0
965AEL27,-0.54,,,0
965ISF28,-0.0,,,0
965SCL25C,1.93,,,0
965SCL26Y,-2.68,,,0
96IIFL28,-0.0,,,0
96IIFL28A,0.02,,,0
970CAGL28,0.0,,,0
971SCL30,0.05,,,0
971SCL30A,0.0,,,0
97MOFSL34,-1.46,,,0
97SFL28,0.0,,,0
985ECL28,0.34,,,0
990SCL27,0.0,,,0
99AEL29,-0.17,,,0
9AEL30,-0.73,,,0
9IIFL28,-0.98,,,0
9IIFL28A,-0.58,,,0
9IIFL31,-0.52,,,0
9PFL31A,0.39,,,0
9SCL26BA,0.09,,,0
9SCL27,-1.3,,,0
A2ZINFRA,0.6,,,0
AAATECH,1.96,,,0
AADHARHFC,1.92,,,0
AAKAAR,-5.0,,,0
AAKASH,-0.11,,,0
AARADHYA,0.0,,,0
AAREYDRUGS,-2.98,,,0
AARNAV,1.38,,,0
AARON,-0.25,,,0
AARTECH,-0.27,,,0
AARTIDRUGS,-0.38,,,0
AARTIIND,3.14,,,0
AARTIPHARM,1.35,,,0
AARTISURF,1.88,,,0
AARVI,-0.31,,,0
AASTHA,-9.99,,-9.99,0
AAVAS,0.04,,,0
ABAN,4.99,,,0
ABANSENT,2.56,,,0
ABB,0.58,,,0
ABBOTINDIA,0.25,,,0
ABCAPITAL,-0.75,,,0
ABCOTS,0.67,,,0
ABDL,-1.49,,,0
ABFRL,1.87,,,0
ABGSEC,0.77,,,0
ABHAPOWER,-0.38,,,0
ABINFRA,0.3,,,0
ABLBL,0.06,,,0
ABMINTLLTD,-1.96,,,0
ABMKNO,-0.39,,,0
ABREL,-2.14,,,0
ABSL10BANK,0.71,,,0
ABSLAMC,0.69,,,0
ABSLBANETF,0.41,,,0
ABSLLIQUID,0.0,,,0
ABSLMSCIN,0.57,,,0
ABSLNN50ET,0.35,,,0
ABSLPSE,0.19,,,0
ABSMARINE,0.81,,,0
ACC,-1.12,,,0
ACCELYA,-0.08,,,0
ACCENTMIC,0.58,,,0
ACCPL,-0.69,,,0
ACCURACY,-0.83,,,0
ACE,-2.12,,,0
ACEINTEG,-1.45,,,0
ACETEC,-0.32,,,0
ACI,-1.15,,,0
ACL,1.18,,,0
ACMESOLAR,-1.78,,,0
ACSTECH,3.7,,,0
ACUTAAS,-0.68,,,0
ADANIENSOL,-1.34,,,0
ADANIENT,-0.79,,,0
ADANIGREEN,-0.62,,,0
ADANIPORTS,-0.29,,,0
ADANIPOWER,-0.42,,,0
ADDICTIVE,-4.49,,,0
ADFFOODS,-2.9,,,0
ADISOFT,1.37,,,0
ADL,-2.3,,,0
ADOR,-1.54,,,0
ADROITINFO,-2.19,,,0
ADSL,-0.04,,,0
ADVAIT,1.21,,,0
ADVANCE,-3.22,,,0
ADVANIHOTR,0.47,,,0
ADVENTHTL,-0.11,,,0
ADVENZYMES,-0.89,,,0
AEGISLOG,0.3,,,0
AEGISVOPAK,1.71,,,0
AEL120126,0.0,,,0
AEPL,1.26,,,0
AEQUS,-0.38,,,0
AEROENTER,-1.38,,,0
AEROFLEX,-3.84,,,0
AERON,-0.06,,,0
AERONEU,0.11,,,0
AEROPLANE,-1.89,,,0
AETHER,-0.31,,,0
AFCONS,-0.77,,,0
AFFLE,1.57,,,0
AFFORDABLE,5.0,,,0
