SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
0SCL27,,-2.96,,added
1003IIFL29,1.0,-0.2,-1.2,down
1003ISFL28,0.0,,,removed
1003SCL30A,4.1,,,removed
1003SCL31P,,-7.49,,added
1015ECL29,0.51,0.01,-0.5,down
1015SCFL29,,-5.82,,added
1018GS2026,-0.22,0.5,0.72,up
1020CCSP27,0.37,,,removed
1025PATE28,,-0.25,,added
1025SCL34,0.0,-1.47,-1.47,down
1025SCL34B,,0.0,,added
1025SCL34Z,,2.01,,added
1025UCL26A,-0.05,0.02,0.07,up
1025UCL27A,,-2.52,,added
1025VCCL28,1.13,-3.51,-4.64,down
1039UCL26,,-0.42,,added
1040UCL27B,-1.23,,,removed
1050ISFL28,,0.22,,added
1050UCL28,,0.88,,added
105IIFL29,1.99,0.09,-1.9,down
1060ECL29,-1.64,-0.91,0.7299999999999999,up
1065NFL27,0.4,-0.54,-0.9400000000000001,down
1075SCL33,0.02,,,removed
1075WCA28,0.0,,,removed
10IIFL28,0.11,-0.2,-0.31,down
10IIFL28A,0.0,-0.43,-0.43,down
10IIFL29,-1.76,1.42,3.1799999999999997,up
10IIFLSF27,,-4.66,,added
10MWL29,1.28,,,removed
10UCL26,,0.0,,added
113ESFB31,-0.0,,,removed
1150AFIL28,0.66,,,removed
1150AFIL29,-0.24,,,removed
115VCCL28,,0.0,,added
115VCCL28A,-2.81,,,removed
115VCCL31,0.0,,,removed
115VCCL31A,,-1.53,,added
1165ESFB32,0.0,0.11,0.11,up
1225IFL27,-19.21,,,removed
1225IFL28,,-0.99,,added
1275DCCL28,1.58,,,removed
12AFIL27,,-0.43,,added
12AFIL28,-1.28,0.5,1.78,up
12VCCL29A,,-0.68,,added
12VCCL29B,1.83,,,removed
182D051126,0.15,,,removed
182D151026,,-0.43,,added
182D221026,1.24,0.0,-1.24,down
20MICRONS,-1.61,-1.38,0.2300000000000002,up
21STCENMGM,1.64,0.65,-0.9899999999999999,down
360ONE,-0.5,-1.51,-1.01,down
364D110227,1.06,,,removed
364D130826,0.96,,,removed
364D171226,0.64,,,removed
364D231026,1.31,,,removed
3BBLACKBIO,0.16,0.15,-0.010000000000000009,down
3IINFOLTD,1.63,1.14,-0.49,down
